session_id,session_position,session_length,track_id_clean,skip_1,skip_2,skip_3,not_skipped,context_switch,no_pause_before_play,short_pause_before_play,long_pause_before_play,hist_user_behavior_n_seekfwd,hist_user_behavior_n_seekback,hist_user_behavior_is_shuffle,hour_of_day,date,premium,context_type,hist_user_behavior_reason_start,hist_user_behavior_reason_end,skip_prediction
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,2,13,t_43b537c3-778f-41e3-a6b1-79851db40edc,False,False,False,True,0,1,0,0,0,0,False,6,2018-07-16,True,radio,trackdone,trackdone,False
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,3,13,t_af32a244-4c82-4bc7-ae11-a41e2af05789,False,False,False,True,0,1,0,0,0,0,False,6,2018-07-16,True,radio,trackdone,trackdone,False
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,4,13,t_5dc0f914-cf35-4c26-9fe4-7fff7070ef80,False,False,False,True,0,1,0,0,0,0,False,6,2018-07-16,True,radio,trackdone,trackdone,True
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,5,13,t_1c6147d2-3d11-4b0b-a7ad-a50a2a93e829,False,False,False,True,0,1,0,0,0,0,False,6,2018-07-16,True,radio,trackdone,trackdone,True
1_00002aa7-c6a1-4667-85c9-e873b4ef9ecc,6,13,t_ccbe59bd-86ed-4bc7-a0a2-322293c9a31f,False,False,False,True,0,1,0,0,0,0,False,6,2018-07-16,True,radio,trackdone,trackdone,True
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,2,10,t_e906abc1-5808-4517-8ee4-2790c42c8ca4,False,False,True,False,0,1,0,0,0,0,False,12,2018-07-16,False,catalog,trackdone,fwdbtn,False
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,3,10,t_e2dda38d-f826-481b-b49a-a1d9051f5c6d,True,True,True,False,0,1,0,0,0,0,False,12,2018-07-16,False,catalog,fwdbtn,fwdbtn,False
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,4,10,t_ce600660-bdd3-4989-9436-54c7171e8eb9,True,True,True,False,0,1,0,0,0,0,False,12,2018-07-16,False,catalog,fwdbtn,fwdbtn,True
1_0000547c-959a-45a0-bbf5-35a168ae5dc8,5,10,t_2e6b3753-5b16-4aa2-97f8-c77a81377139,True,True,True,False,0,1,0,0,0,0,False,12,2018-07-16,False,catalog,fwdbtn,fwdbtn,True
1_000065b5-50a8-4616-8d80-2cb594ed8524,2,10,t_8611c55a-c47f-42b2-8b05-d9ee7bbb6aa5,True,True,True,False,0,0,1,1,0,0,False,7,2018-07-16,True,user_collection,trackdone,fwdbtn,False
1_000065b5-50a8-4616-8d80-2cb594ed8524,3,10,t_8132e475-6356-43cc-b782-5a9d7ce79173,False,False,False,True,0,1,0,0,0,0,False,7,2018-07-16,True,user_collection,fwdbtn,trackdone,False
1_000065b5-50a8-4616-8d80-2cb594ed8524,4,10,t_6ac0cdeb-c2b7-4ccc-9637-69f8576c9160,False,False,False,False,0,0,1,1,0,0,False,7,2018-07-16,True,user_collection,trackdone,trackdone,True
1_000065b5-50a8-4616-8d80-2cb594ed8524,5,10,t_7efb8acc-0ddf-43d1-940d-62203bff9787,False,False,True,False,0,0,1,1,0,0,False,7,2018-07-16,True,user_collection,trackdone,fwdbtn,True
1_00006ad9-3339-4847-a392-d5708b1a5dff,2,13,t_1586148f-acae-49b5-9cc1-12f5bb6be1d6,False,False,True,False,0,0,1,1,0,0,True,11,2018-07-16,False,editorial_playlist,trackdone,fwdbtn,False
1_00006ad9-3339-4847-a392-d5708b1a5dff,3,13,t_e80863f8-62af-4154-81c5-c42692e5c35f,True,True,True,False,0,1,0,0,0,0,True,11,2018-07-16,False,editorial_playlist,fwdbtn,fwdbtn,False
1_00006ad9-3339-4847-a392-d5708b1a5dff,4,13,t_54c3166f-a6e8-407a-b38f-e5131fd8e5bd,False,False,True,False,0,1,0,0,0,0,True,11,2018-07-16,False,editorial_playlist,fwdbtn,fwdbtn,True
1_00006ad9-3339-4847-a392-d5708b1a5dff,5,13,t_5ee909a2-7841-46f2-9ce1-cae12d8a630a,False,True,True,False,0,1,0,0,0,0,True,11,2018-07-16,False,editorial_playlist,fwdbtn,endplay,True
1_00006ad9-3339-4847-a392-d5708b1a5dff,6,13,t_c012e957-754a-4cbc-a5fb-daf233437268,False,True,True,False,1,0,0,1,0,0,True,11,2018-07-16,False,editorial_playlist,trackdone,fwdbtn,True
