,,,,,,,,,,,,,,,,
,,,,,,Session Position,,,,,,,,,,
,,Model,Experiment,2,3,4,5,6,7,8,9,10,,,,
,,Dummy Classifier,Dummy Classifier,59.17%,51.08%,48.52%,50.30%,54.68%,50.46%,59.57%,47.67%,47.37%,,,,
,,,,,,,,,,,,,,,,
,,,Experiment 1  0-Shot,58.97%,55.23%,59.76%,62.13%,56.35%,54.43%,52.84%,52.33%,59.65%,,,,
,,,Experiment 1  1-Shot,39.84%,47.34%,53.45%,53.25%,52.76%,47.71%,51.06%,53.49%,60.09%,,,,
,,,Experiment 2  0-Shot,58.58%,54.83%,54.64%,54.83%,51.32%,54.43%,46.45%,53.88%,57.46%,,,,
,,Llama 3.0,Experiment 2  1-Shot,50.30%,55.23%,61.14%,57.79%,53.00%,54.43%,49.29%,55.04%,55.26%,,,,
,,,Experiment 3  0-Shot,58.38%,55.42%,53.45%,52.86%,47.48%,50.15%,46.45%,48.45%,51.32%,,,,
,,,Experiment 3  1-Shot,51.48%,48.52%,48.13%,49.51%,51.56%,51.07%,38.30%,50.39%,52.63%,,,,
,,,Experiment 4  0-Shot,55.03%,52.27%,53.85%,53.25%,46.28%,50.76%,41.49%,53.10%,54.82%,,,,
,,,Experiment 4  1-Shot,49.70%,48.52%,52.86%,54.04%,58.75%,50.76%,43.62%,52.71%,54.82%,,,,
,,,Experiment 5  0-Shot,54.64%,54.64%,53.45%,54.44%,47.48%,51.99%,43.26%,52.33%,53.51%,,,,
,,,Experiment 5  1-Shot,55.23%,51.68%,49.90%,53.45%,56.12%,59.33%,49.29%,51.55%,56.14%,,,,
,,,Average,53.21%,52.37%,54.06%,54.56%,52.11%,52.51%,46.21%,52.33%,55.57%,,,,
,,,Experiment 1  0-Shot,58.78%,54.24%,53.65%,52.07%,45.32%,50.76%,42.20%,49.22%,54.82%,,,,
,,,Experiment 1  1-Shot,44.38%,49.90%,49.51%,48.32%,49.64%,44.34%,47.52%,44.57%,56.58%,,,,
,,,Experiment 2  0-Shot,58.58%,52.86%,53.65%,50.49%,50.60%,53.52%,42.91%,53.10%,53.07%,,,,
,,,Experiment 2  1-Shot,52.86%,54.24%,63.31%,62.13%,57.07%,56.27%,53.55%,54.26%,50.00%,,,,
,,Llama 3.1,Experiment 3  0-Shot,57.20%,53.65%,49.51%,50.10%,50.36%,51.68%,44.68%,50.39%,49.12%,,,,
,,,Experiment 3  1-Shot,60.16%,51.87%,53.25%,52.27%,49.16%,49.54%,44.33%,51.16%,42.98%,,,,
,,,Experiment 4  0-Shot,59.37%,52.07%,49.90%,54.64%,48.92%,48.62%,46.81%,49.61%,57.02%,,,,
,,,Experiment 4  1-Shot,59.17%,53.06%,52.27%,57.79%,56.12%,49.85%,52.13%,55.81%,62.72%,,,,
,,,Experiment 5  0-Shot,57.79%,50.89%,52.47%,54.44%,47.96%,50.76%,50.00%,50.39%,50.44%,,,,
,,,Experiment 5  1-Shot,59.37%,60.36%,55.62%,60.95%,56.83%,57.49%,55.32%,52.33%,54.82%,,,,
,,,Average,56.77%,53.31%,53.31%,54.32%,51.20%,51.28%,47.94%,51.09%,53.16%,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
