Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Model,Experiment 1  0-Shot,Experiment 1  1-Shot,Experiment 2  0-Shot,Experiment 2  1-Shot,Experiment 3  0-Shot,Experiment 3  1-Shot,Experiment 4  0-Shot,Experiment 4  1-Shot,Experiment 5  0-Shot,Experiment 5  1-Shot,,,
,Dummy Classifier,52.28%,52.28%,52.28%,52.28%,52.28%,52.28%,52.28%,52.28%,52.28%,52.28%,Average,,
,Llama 3.0,57.55%,49.99%,54.59%,55.01%,52.59%,49.63%,51.85%,51.82%,52.65%,53.55%,52.92%,,
,Llama 3.1,52.42%,48.47%,52.80%,57.23%,51.69%,51.97%,52.52%,55.87%,52.37%,58%,53.33%,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Researchers,Model Type,First Prediction Accuracy,,,,,,,,,,,
,Hansen et al.,Multi-RNN,80.70%,,,,,,,,,,,
,Ferraro et al.,Boosting Trees,73.50%,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
